First Name,Last Name,Gender,DOB,Username,password
Riddhi,Wade,female,24-May,ibmriddhi,Riddhi123@
Swara,Bhoir,female,25-May,,
Shubhra,Thakur,female,26-May,,
Mitu,Tamore,female,27-May,,
Sansku,Vaze,female,28-May,,
Anagha,Pagdhare,female,29-May,,
Vinit,Tandel,male,30-May,,
Somi,Singh,male,31-May,,
Aaransh,Verma,male,01-Jun,,
Stavan,Raut,male,02-Jun,,
Yash,Salunkhe,male,03-Jun,,
Shruti,Yeole,female,04-Jun,,
Siddhesh,Suryawanshi,male,05-Jun,,
Vinu,Tand,male,06-Jun,,
Ved,Her,male,07-Jun,,
